date,open,high,low,close,vol,amount
2016-10-27,3351.46,3352.35,3335.13,3345.7,776298.0,85241012224.0
2016-10-28,3347.14,3370.75,3337.29,3340.13,931333.0,104797970432.0
2016-10-31,3332.41,3340.47,3317.33,3336.28,713528.0,80701825024.0
2016-11-01,3338.71,3359.39,3334.46,3359.05,749382.0,84717682688.0
2016-11-02,3350.71,3356.4,3331.38,3333.35,911971.0,100348993536.0
2016-11-03,3326.9,3379.99,3324.84,3365.08,1262235.0,137386467328.0
2016-11-04,3362.21,3377.64,3348.43,3354.17,1040696.0,110813765632.0
2016-11-07,3353.44,3362.74,3342.31,3356.59,998779.0,94370873344.0
2016-11-08,3367.7,3383.92,3361.13,3371.12,1031482.0,105138257920.0
2016-11-09,3370.6,3373.1,3322.08,3353.05,1391100.0,145186914304.0
2016-11-10,3374.91,3403.02,3374.91,3390.61,1347055.0,133277401088.0
2016-11-11,3387.95,3422.67,3382.89,3417.22,1987815.0,190647271424.0
2016-11-14,3409.22,3452.62,3408.14,3430.25,2132471.0,208353312768.0
2016-11-15,3428.87,3434.92,3415.99,3429.87,1345663.0,135206772736.0
2016-11-16,3432.43,3435.64,3419.24,3429.59,1298085.0,128944603136.0
2016-11-17,3423.47,3437.67,3412.88,3436.53,1215617.0,121576882176.0
2016-11-18,3437.49,3443.12,3413.27,3417.46,1159512.0,117345607680.0
2016-11-21,3412.65,3463.14,3412.08,3441.11,1464345.0,147542589440.0
2016-11-22,3443.22,3469.22,3443.22,3468.36,1685234.0,167250673664.0
2016-11-23,3473.9,3492.96,3465.76,3474.73,1623885.0,171247108096.0
2016-11-24,3468.81,3508.16,3467.01,3488.74,1457463.0,165071454208.0
2016-11-25,3490.04,3521.3,3463.95,3521.3,1536215.0,166832177152.0
2016-11-28,3538.68,3553.36,3528.32,3535.08,2073754.0,219859763200.0
2016-11-29,3525.9,3583.72,3521.38,3564.04,2369183.0,248322818048.0
2016-11-30,3557.64,3567.07,3527.02,3538.0,1785601.0,190681235456.0
2016-12-01,3543.96,3575.97,3543.25,3565.04,1801707.0,199637745664.0
2016-12-02,3559.77,3562.55,3516.79,3528.95,1963554.0,203742150656.0
2016-12-05,3473.69,3496.88,3457.34,3469.41,1808523.0,190175068160.0
2016-12-06,3466.24,3477.59,3456.81,3459.15,1155290.0,125727752192.0
2016-12-07,3458.37,3475.75,3445.76,3475.75,1143451.0,115282190336.0
2016-12-08,3481.81,3484.34,3466.51,3470.14,1173839.0,119188512768.0
2016-12-09,3464.87,3507.93,3461.76,3493.7,1503033.0,152674861056.0
2016-12-12,3489.27,3495.8,3400.79,3409.18,1874677.0,199163543552.0
2016-12-13,3394.21,3416.21,3370.6,3405.04,1211051.0,124454191104.0
2016-12-14,3399.41,3412.28,3378.27,3378.95,1240077.0,126182670336.0
2016-12-15,3363.86,3378.04,3327.14,3340.43,1149606.0,121507815424.0
2016-12-16,3335.36,3356.29,3330.49,3346.03,907754.0,98112208896.0
2016-12-19,3342.35,3344.86,3325.0,3328.98,816406.0,86095691776.0
2016-12-20,3328.3,3329.1,3289.27,3309.06,875695.0,88527347712.0
2016-12-21,3313.75,3342.48,3313.75,3338.54,1082549.0,106205487104.0
2016-12-22,3335.12,3340.36,3322.72,3335.67,922772.0,92564881408.0
2016-12-23,3333.4,3334.89,3300.88,3307.6,974447.0,99575472128.0
2016-12-26,3293.22,3322.42,3267.05,3322.4,897939.0,95493218304.0
2016-12-27,3319.21,3330.23,3315.83,3316.39,754863.0,79617130496.0
2016-12-28,3315.75,3320.55,3293.17,3301.89,690004.0,71759839232.0
2016-12-29,3297.04,3312.11,3288.1,3297.76,700879.0,75972960256.0
2016-12-30,3302.6,3313.55,3295.75,3310.08,717441.0,76921372672.0
2017-01-03,3313.95,3345.26,3313.95,3342.23,865678.0,87612768256.0
2017-01-04,3340.56,3369.57,3338.15,3368.31,900508.0,98014355456.0
2017-01-05,3368.34,3373.41,3361.46,3367.79,883363.0,91189338112.0
2017-01-06,3366.85,3368.87,3346.89,3347.67,874591.0,91072258048.0
2017-01-09,3345.75,3366.22,3344.35,3363.9,837079.0,87916118016.0
2017-01-10,3361.64,3370.51,3354.09,3358.27,838191.0,82533965824.0
2017-01-11,3355.8,3366.63,3334.3,3334.5,910714.0,86750453760.0
2017-01-12,3332.69,3343.13,3315.96,3317.62,812391.0,75031887872.0
2017-01-13,3317.96,3338.17,3309.37,3319.91,841805.0,84556103680.0
2017-01-16,3314.15,3322.78,3264.21,3319.45,1577791.0,153262522368.0
2017-01-17,3305.6,3327.38,3292.2,3326.36,694533.0,74754506752.0
2017-01-18,3323.34,3350.96,3320.41,3339.37,706232.0,75680677888.0
2017-01-19,3330.95,3346.5,3324.68,3329.29,661598.0,63869710336.0
2017-01-20,3326.98,3358.41,3326.37,3354.89,653004.0,70831325184.0
2017-01-23,3359.05,3378.74,3355.85,3364.08,755574.0,76492660736.0
2017-01-24,3363.14,3371.32,3355.9,3364.45,661942.0,66049650688.0
2017-01-25,3361.66,3376.44,3357.22,3375.9,583769.0,62483394560.0
2017-01-26,3378.26,3395.88,3378.26,3387.96,653166.0,66488819712.0
2017-02-03,3390.93,3392.48,3362.57,3364.49,551888.0,57113853952.0
2017-02-06,3368.11,3381.33,3358.75,3373.21,685213.0,73408135168.0
2017-02-07,3371.77,3376.71,3354.63,3365.68,637544.0,69758181376.0
2017-02-08,3361.78,3383.69,3347.43,3383.29,754028.0,82869739520.0
2017-02-09,3381.9,3406.59,3379.79,3396.29,975585.0,102134226944.0
2017-02-10,3398.32,3422.33,3398.03,3413.49,1237687.0,121908576256.0
2017-02-13,3416.92,3439.54,3416.87,3436.27,1201445.0,125332996096.0
2017-02-14,3438.51,3440.67,3424.4,3435.8,948094.0,98537168896.0
2017-02-15,3435.39,3448.03,3417.08,3421.71,1276433.0,124653182976.0
2017-02-16,3421.83,3440.93,3418.35,3440.93,1082769.0,101809766400.0
2017-02-17,3443.62,3457.56,3419.61,3421.44,1146000.0,118033129472.0
2017-02-20,3421.64,3472.6,3421.64,3471.39,1326288.0,134681501696.0
2017-02-21,3475.06,3490.09,3472.02,3482.82,1148420.0,120675426304.0
2017-02-22,3483.2,3489.95,3473.52,3489.76,1028159.0,109232422912.0
2017-02-23,3487.57,3492.96,3460.12,3473.32,995363.0,106555924480.0
2017-02-24,3468.96,3473.85,3455.25,3473.85,955351.0,99875168256.0
2017-02-27,3471.13,3472.84,3441.39,3446.22,986721.0,106830872576.0
2017-02-28,3445.03,3460.91,3441.36,3452.81,752152.0,81979310080.0
2017-03-01,3452.21,3472.7,3449.11,3458.44,1032603.0,109317783552.0
2017-03-02,3463.48,3468.47,3434.0,3435.1,898980.0,97876189184.0
2017-03-03,3424.66,3428.88,3412.83,3427.86,809946.0,90009616384.0
2017-03-06,3427.25,3449.03,3425.9,3446.48,830708.0,95178547200.0
2017-03-07,3446.16,3454.04,3440.06,3453.96,803347.0,94483824640.0
2017-03-08,3452.2,3457.04,3441.26,3448.73,795876.0,89124904960.0
2017-03-09,3442.9,3443.05,3414.68,3426.94,845703.0,90090045440.0
2017-03-10,3423.98,3436.24,3423.94,3427.89,700162.0,82161713152.0
2017-03-13,3425.67,3458.1,3412.69,3458.1,916841.0,108489138176.0
2017-03-14,3456.66,3465.39,3448.9,3456.69,770779.0,95317565440.0
2017-03-15,3452.21,3463.92,3445.27,3463.64,791049.0,94056259584.0
2017-03-16,3472.27,3492.13,3472.27,3481.51,1063339.0,124695576576.0
2017-03-17,3485.31,3488.5,3441.47,3445.81,1037555.0,122368917504.0
2017-03-20,3449.05,3454.06,3429.83,3449.61,887343.0,103769407488.0
2017-03-21,3449.77,3466.7,3445.64,3466.35,877078.0,113528201216.0
2017-03-22,3450.75,3464.33,3433.5,3450.05,1049359.0,123865636864.0
2017-03-23,3452.41,3470.82,3435.69,3461.98,943180.0,115813810176.0
2017-03-24,3464.2,3499.32,3461.11,3489.6,1256458.0,141752532992.0
2017-03-27,3488.76,3505.98,3474.52,3478.04,1070153.0,124388016128.0
2017-03-28,3480.25,3482.29,3461.47,3469.81,841948.0,97495941120.0
2017-03-29,3472.97,3483.06,3455.55,3465.19,1048517.0,114663464960.0
2017-03-30,3461.62,3467.3,3422.37,3436.76,1163769.0,122088022016.0
2017-03-31,3434.82,3456.31,3430.82,3456.05,915774.0,100984905728.0
2017-04-05,3476.42,3504.54,3475.15,3503.89,1433990.0,160742981632.0
2017-04-06,3507.99,3517.78,3495.72,3514.05,1367670.0,145221648384.0
2017-04-07,3514.45,3526.81,3506.39,3517.46,1402932.0,144559669248.0
2017-04-10,3519.46,3522.8,3502.08,3505.14,1418873.0,155747827712.0
2017-04-11,3503.83,3520.13,3466.14,3517.33,1659458.0,189457268736.0
2017-04-12,3514.57,3523.1,3498.0,3509.44,1818245.0,202154573824.0
2017-04-13,3500.28,3518.44,3496.57,3514.57,1299818.0,133345927168.0
2017-04-14,3516.81,3517.47,3476.95,3486.5,1354740.0,130425389056.0
2017-04-17,3475.74,3480.57,3453.68,3479.94,1171649.0,123884371968.0
2017-04-18,3474.89,3489.08,3462.63,3462.74,1109278.0,126790852608.0
2017-04-19,3452.99,3459.35,3418.51,3445.88,1213492.0,127050358784.0
2017-04-20,3444.52,3465.61,3440.72,3461.55,1141842.0,133977260032.0
2017-04-21,3461.39,3475.56,3449.54,3466.79,1044191.0,115208830976.0
2017-04-24,3458.23,3458.23,3403.98,3431.26,1146607.0,122778157056.0
