datetime,open,high,low,close,volume,amount,code
2026-01-05,4.783,4.848,4.78,4.844,1017132485.0,4902061805.0,510300.SH
2026-01-06,4.85,4.92,4.848,4.919,1052301545.0,5141603633.0,510300.SH
2026-01-07,4.92,4.927,4.876,4.901,933402554.0,4578481053.0,510300.SH
2026-01-08,4.888,4.894,4.843,4.863,682719778.0,3324674355.0,510300.SH
2026-01-09,4.857,4.903,4.844,4.885,1134855258.0,5535581862.0,510300.SH
2026-01-12,4.893,4.929,4.861,4.913,1333075333.0,6529675045.0,510300.SH
2026-01-13,4.922,4.965,4.876,4.896,1271783195.0,6249488306.0,510300.SH
2026-01-14,4.896,4.949,4.841,4.866,2136722288.0,10465332592.0,510300.SH
2026-01-15,4.849,4.894,4.843,4.875,5217148860.0,25390672681.0,510300.SH
2026-01-16,4.905,4.919,4.838,4.859,5320166468.0,25922582412.0,510300.SH
2026-01-19,4.737,4.769,4.718,4.738,2913439864.0,13792576409.0,510300.SH
2026-01-20,4.735,4.751,4.688,4.724,2886765633.0,13613769428.0,510300.SH
2026-01-21,4.709,4.764,4.709,4.73,4903973986.0,23207895509.0,510300.SH
2026-01-22,4.741,4.76,4.703,4.727,4316344208.0,20376067887.0,510300.SH
2026-01-23,4.732,4.742,4.687,4.704,6769378109.0,31834663643.0,510300.SH
2026-01-26,4.712,4.76,4.694,4.712,5939852882.0,28002364939.0,510300.SH
2026-01-27,4.712,4.742,4.679,4.71,4339135015.0,20450057577.0,510300.SH
2026-01-28,4.725,4.743,4.704,4.725,8497782253.0,40100175381.0,510300.SH
2026-01-29,4.724,4.779,4.704,4.768,3545664739.0,16773879626.0,510300.SH
2026-01-30,4.736,4.758,4.642,4.711,1670274801.0,7860479504.0,510300.SH
2026-02-02,4.68,4.719,4.591,4.6,2651134391.0,12299263716.0,510300.SH
2026-02-03,4.64,4.668,4.585,4.664,1052944612.0,4881749326.0,510300.SH
2026-02-04,4.652,4.709,4.643,4.707,1052505916.0,4914865553.0,510300.SH
2026-02-05,4.68,4.695,4.645,4.679,933982876.0,4364498239.0,510300.SH
2026-02-06,4.643,4.691,4.61,4.649,881673740.0,4106577054.0,510300.SH
2026-02-09,4.695,4.73,4.686,4.727,701119504.0,3304026961.0,510300.SH
2026-02-10,4.733,4.739,4.72,4.733,680461663.0,3219183511.0,510300.SH
2026-02-11,4.727,4.732,4.714,4.723,372078690.0,1757895647.0,510300.SH
2026-02-12,4.729,4.735,4.716,4.727,398012411.0,1881073591.0,510300.SH
2026-02-13,4.714,4.714,4.667,4.671,1367357151.0,6405790170.0,510300.SH
2026-02-24,4.725,4.736,4.705,4.716,624245587.0,2946760847.0,510300.SH
2026-02-25,4.717,4.778,4.716,4.75,873403106.0,4148107679.0,510300.SH
2026-02-26,4.751,4.754,4.712,4.735,766372132.0,3624553287.0,510300.SH
2026-02-27,4.72,4.732,4.7,4.725,606245261.0,2859792911.0,510300.SH
2026-03-02,4.694,4.743,4.674,4.739,1242367525.0,5860854055.0,510300.SH
2026-03-03,4.741,4.751,4.665,4.678,966557866.0,4550837091.0,510300.SH
2026-03-04,4.64,4.65,4.587,4.61,829224020.0,3830984400.0,510300.SH
2026-03-05,4.647,4.678,4.639,4.654,568420959.0,2646464156.0,510300.SH
2026-03-06,4.64,4.682,4.624,4.667,504375859.0,2349185776.0,510300.SH
2026-03-09,4.623,4.638,4.56,4.629,838098260.0,3854535508.0,510300.SH
2026-03-10,4.642,4.689,4.641,4.683,546012517.0,2550822882.0,510300.SH
2026-03-11,4.686,4.719,4.682,4.711,593712221.0,2792866730.0,510300.SH
2026-03-12,4.711,4.711,4.665,4.694,343383626.0,1610201018.0,510300.SH
2026-03-13,4.672,4.716,4.67,4.677,325112905.0,1526480622.0,510300.SH
2026-03-16,4.675,4.686,4.632,4.68,403862701.0,1881524447.0,510300.SH
